Phase,Avg_ms,StdDev_ms,Max_ms,Min_ms,Total_ms,Calls
AI Adversarial Detection,0.08,0.04,0.23,0.03,3.9,50
Exogenous Shock Detection,0.02,0.04,0.22,0.00,0.8,50
Critical Juncture Agency,0.01,0.00,0.02,0.01,0.5,50
Unemployment & Skills,0.09,0.02,0.16,0.07,4.6,50
Unknown Unknown Events,0.03,0.08,0.61,0.01,1.6,50
Economic System,0.05,0.02,0.12,0.04,2.6,50
Climate System,0.21,0.06,0.35,0.09,10.6,50
Multi-Paradigm DUI Update,0.09,0.03,0.19,0.06,4.7,50
Bayesian Mortality Resolution,0.28,0.09,0.56,0.14,13.8,50
Outcome Probabilities Calculation,0.03,0.01,0.08,0.02,1.7,50
Minimal Suffering Indicators,0.26,0.24,1.86,0.13,12.9,50
Crisis Detection,0.01,0.01,0.06,0.01,0.5,50
Ensemble Meta-Learning,0.02,0.05,0.30,0.00,1.0,50
Extinction System,0.14,0.07,0.54,0.09,7.1,50
Technology Diffusion,0.04,0.01,0.08,0.02,1.8,50
Event Collection,0.03,0.02,0.12,0.01,1.5,50
Time Advancement,0.00,0.00,0.02,0.00,0.2,50
Organization Viability,0.08,0.03,0.17,0.05,4.0,50
Nuclear Crisis,0.01,0.01,0.05,0.01,0.5,50
